county_id,county_desc,precinct_abbrv,precinct_desc,vtd_abbrv,vtd_desc,party,precinct_total_reg,precinct_total_party_reg,precinct_pct_black,precinct_pct_party_black,precinct_pct_white,precinct_pct_party_white,precinct_pct_nonwhite,precinct_pct_party_nonwhite,precinct_avg_age,precinct_avg_party_age,precinct_pct_una,precinct_pct_party_election_day_lag
1,ALAMANCE,,,,,Democrat,16140,6836,0.20452292441140024,0.406377998829725,0.6940520446096654,0.5067290813341135,0.3059479553903346,0.49327091866588646,65.58624535315985,68.01272674078409,0.2650557620817844,NA
1,ALAMANCE,,,,,Republican,16140,4965,0.20452292441140024,0.015508559919436053,0.6940520446096654,0.9365558912386707,0.3059479553903346,0.0634441087613293,65.58624535315985,71.12567975830815,0.2650557620817844,NA
1,ALAMANCE,01,PATTERSON,01,01,Democrat,3723,541,0.05989793177544991,0.29944547134935307,0.8490464679022294,0.600739371534196,0.15095353209777063,0.39926062846580407,50.78323932312651,56.46210720887246,0.3180230996508192,0.27314814814814814
1,ALAMANCE,01,PATTERSON,01,01,Republican,3723,1975,0.05989793177544991,0.0060759493670886075,0.8490464679022294,0.9291139240506329,0.15095353209777063,0.07088607594936709,50.78323932312651,51.64708860759494,0.3180230996508192,0.29510229386236825
1,ALAMANCE,01,PATTERSON,08N,08N,Republican,1,1,0,0,1,1,0,0,29,29,0,0.29510229386236825
1,ALAMANCE,02,COBLE,02,02,Democrat,3714,540,0.03984921917070544,0.19814814814814816,0.8863758750673129,0.7222222222222222,0.11362412493268713,0.2777777777777778,51.53877221324717,57.12592592592593,0.31367797522886376,0.2639593908629442
1,ALAMANCE,02,COBLE,02,02,Republican,3714,1987,0.03984921917070544,0.004026170105686965,0.8863758750673129,0.9411172622043281,0.11362412493268713,0.058882737795671866,51.53877221324717,52.66884750880725,0.31367797522886376,0.27304550758459745
1,ALAMANCE,035,BOONE 5,035,035,Democrat,4406,1341,0.12846118928733546,0.307979120059657,0.7394462097140263,0.5771812080536913,0.2605537902859737,0.4228187919463087,45.33885610531094,43.56450410141685,0.3563322741715842,0.31016507384882713
1,ALAMANCE,035,BOONE 5,035,035,Republican,4406,1454,0.12846118928733546,0.011691884456671253,0.7394462097140263,0.90646492434663,0.2605537902859737,0.09353507565337002,45.33885610531094,51.61691884456671,0.3563322741715842,0.25944767441860467
1,ALAMANCE,03C,CENTRAL BOONE,03C,03C,Democrat,2380,604,0.0726890756302521,0.2185430463576159,0.823109243697479,0.6539735099337748,0.17689075630252102,0.34602649006622516,54.272689075630254,59.16887417218543,0.33865546218487397,0.49270664505672607
1,ALAMANCE,03C,CENTRAL BOONE,03C,03C,Republican,2380,952,0.0726890756302521,0.0063025210084033615,0.823109243697479,0.9453781512605042,0.17689075630252102,0.0546218487394958,54.272689075630254,56.330882352941174,0.33865546218487397,0.3415892672858617
1,ALAMANCE,03N,NORTH BOONE,03N,03N,Democrat,3306,1071,0.08166969147005444,0.1839402427637722,0.8024803387779794,0.7124183006535948,0.19751966122202058,0.2875816993464052,46.45220810647308,43.35107376283847,0.3502722323049002,0.35508021390374334
1,ALAMANCE,03N,NORTH BOONE,03N,03N,Republican,3306,1051,0.08166969147005444,0.003805899143672693,0.8024803387779794,0.9352997145575642,0.19751966122202058,0.06470028544243578,46.45220810647308,54.55185537583254,0.3502722323049002,0.23018867924528302
1,ALAMANCE,03N2,NORTH BOONE 2,03N,03N,Democrat,669,233,0.01046337817638266,0.02145922746781116,0.9357249626307922,0.9227467811158798,0.06427503736920777,0.07725321888412018,80.98804185351271,83.21030042918454,0.35276532137518685,1.0161943319838056
1,ALAMANCE,03N2,NORTH BOONE 2,03N,03N,Republican,669,199,0.01046337817638266,0.010050251256281407,0.9357249626307922,0.9547738693467337,0.06427503736920777,0.04522613065326633,80.98804185351271,79.84422110552764,0.35276532137518685,0.4015748031496063
1,ALAMANCE,03SE,SOUTH BOONE E,03S,03S,Democrat,3969,1331,0.24439405391786345,0.48760330578512395,0.6107331821617535,0.3651389932381668,0.3892668178382464,0.6348610067618332,49.755605946082134,50.604057099924866,0.36986646510456034,NA
1,ALAMANCE,03SE,SOUTH BOONE E,03S,03S,Republican,3969,1135,0.24439405391786345,0.019383259911894272,0.6107331821617535,0.8977973568281938,0.3892668178382464,0.10220264317180616,49.755605946082134,55.67136563876652,0.36986646510456034,NA
