state,jurisdiction,precinct_id,total_turnout_2022,precinct_cbs,county,n,ind,dem,rep,vote10,vote12,vote14,vote16,vote18,vote20,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col
AZ,MARICOPA,0010 AIRLINE CANAL,566,04013_0010 AIRLINE CANAL,MARICOPA,4891,1821,1503,1305,1207,1284,685,1829,1665,3090,0.472527473,0.527472527,0.22796974,0.331629524,0.307299121,0.133101615,0.548327519,0.056022984,0.320541761,0.075107737,0.393389501,0.324692158,0.281918341,0.667228495,0.332771505,0.354768014,0.193559505
AZ,MARICOPA,0011 ALAMO,643,04013_0011 ALAMO,MARICOPA,3578,1304,1125,941,1158,1205,713,1602,1495,2440,0.472855134,0.527144866,0.203745109,0.310508664,0.308552264,0.177193963,0.705422023,0.02627166,0.210452767,0.057853549,0.38694362,0.333827893,0.279228487,0.559419064,0.440580936,0.386851795,0.318570229
AZ,MARICOPA,0012 ALEXANDER,1623,04013_0012 ALEXANDER,MARICOPA,4938,1232,1719,1722,2875,2983,2324,3467,3440,4234,0.486283276,0.513716724,0.138776337,0.175648298,0.333063209,0.352512156,0.796881328,0.00526529,0.083434589,0.114418793,0.2636422,0.367857907,0.368499893,0.241093917,0.758906083,0.187391251,0.609490078
AZ,MARICOPA,0013 ALHAMBRA,89,04013_0013 ALHAMBRA,MARICOPA,1198,471,490,186,240,243,169,355,347,604,0.495733788,0.504266212,0.35475793,0.251252087,0.247078464,0.146911519,0.352253756,0.051752922,0.540901503,0.05509182,0.410636443,0.427201395,0.162162162,0.806899531,0.193100469,0.280350939,0.071902818
AZ,MARICOPA,0014 ALMA,3,04013_0014 ALMA,MARICOPA,11,3,1,7,6,6,2,3,4,8,0.545454545,0.454545455,0.181818182,0.090909091,0.545454545,0.181818182,0.727272727,0,0.272727273,0,0.272727273,0.090909091,0.636363636,0.633825608,0.366174392,0.41050651,0.316766217
AZ,MARICOPA,0015 ALPACA,942,04013_0015 ALPACA,MARICOPA,1753,370,405,867,850,878,823,1097,1190,1435,0.431753284,0.568246716,0.009163803,0.016609393,0.101947308,0.872279496,0.94808899,0.004563605,0.027381631,0.019965773,0.225334957,0.246650426,0.528014616,0.55213806,0.44786194,0.521408615,0.426680376
AZ,MARICOPA,0016 ALSUP,260,04013_0016 ALSUP,MARICOPA,963,322,192,415,303,324,198,400,363,580,0.511554622,0.488445378,0.280373832,0.236760125,0.302180685,0.180685358,0.712041885,0.02513089,0.230366492,0.032460733,0.346609257,0.206673843,0.4467169,0.649575858,0.350424142,0.450851092,0.261190793
AZ,MARICOPA,0017 ALTADENA,501,04013_0017 ALTADENA,MARICOPA,1443,388,319,660,712,744,502,877,805,1100,0.481197772,0.518802228,0.136615811,0.210124827,0.339112344,0.314147018,0.833679834,6.93001e-4,0.146223146,0.019404019,0.283833211,0.233357718,0.482809071,0.647743258,0.352256742,0.525979802,0.307700031
AZ,MARICOPA,0018 ALVARADO,176,04013_0018 ALVARADO,MARICOPA,2085,858,741,384,492,525,248,741,666,1241,0.457807953,0.542192047,0.304848776,0.304368699,0.280364858,0.110417667,0.415347722,0.052757794,0.476258993,0.055635492,0.432677761,0.373676248,0.193645991,0.712723972,0.287276028,0.281581233,0.133766489
AZ,MARICOPA,0019 AMBER,453,04013_0019 AMBER,MARICOPA,1604,429,474,594,801,834,585,1056,1032,1342,0.47556391,0.52443609,0.097880299,0.291770574,0.327306733,0.283042394,0.844763092,0.00436409,0.086658354,0.064214464,0.286573146,0.316633267,0.396793587,0.457206145,0.542793855,0.376752812,0.468010281
AZ,MARICOPA,0020 ANDERSON,387,04013_0020 ANDERSON,MARICOPA,2012,671,587,642,732,781,551,1009,951,1437,0.458688032,0.541311968,0.171471173,0.262922465,0.287276342,0.27833002,0.754473161,0.021371769,0.114314115,0.109840954,0.353157895,0.308947368,0.337894737,0.626445738,0.373554262,0.461326472,0.293146689
AZ,MARICOPA,0021 ANDORA,504,04013_0021 ANDORA,MARICOPA,2598,848,782,806,869,900,618,1215,1146,1813,0.463622291,0.536377709,0.187066975,0.2617398,0.283679754,0.267513472,0.80315870599999994,0.012711864,0.137904468,0.046224961,0.348111658,0.321018062,0.330870279,0.540422044,0.459577956,0.42580272,0.377355986
AZ,MARICOPA,0022 ANGELA,1256,04013_0022 ANGELA,MARICOPA,4259,1174,1068,1782,1843,1904,1321,2392,2252,3268,0.480982755,0.519017245,0.179854426,0.212021601,0.327072083,0.28105189,0.807466541,0.009626673,0.098379901,0.084526884,0.291749503,0.265407555,0.442842942,0.427604363,0.572395637,0.338436947,0.469029594
AZ,MARICOPA,0023 ANNETTE,874,04013_0023 ANNETTE,MARICOPA,3244,997,828,1224,1438,1518,1052,1864,1798,2532,0.480942051,0.519057949,0.146868251,0.248071583,0.333539031,0.271521135,0.807953144,0.009247842,0.104808878,0.077990136,0.326992457,0.271564447,0.401443096,0.478873879,0.521126121,0.380963417,0.426989728
AZ,MARICOPA,0024 APACHE,573,04013_0024 APACHE,MARICOPA,1836,535,352,816,506,558,375,761,764,1204,0.461117196,0.538882804,0.094277929,0.144959128,0.288828338,0.471934605,0.839607201,0.00436443,0.124931806,0.031096563,0.314151497,0.206694069,0.479154433,0.773593575,0.226406425,0.645515168,0.194092033
AZ,MARICOPA,0025 APACHE PARK,568,04013_0025 APACHE PARK,MARICOPA,1664,446,374,765,819,847,604,1006,921,1281,0.464091732,0.535908268,0.131325301,0.180722892,0.303012048,0.384939759,0.798677885,0.009014423,0.126802885,0.065504808,0.281388013,0.235962145,0.482649842,0.571815984,0.428184016,0.449573981,0.349103904
AZ,MARICOPA,0026 APACHE WELLS,1866,04013_0026 APACHE WELLS,MARICOPA,4988,1339,1112,2243,2067,2167,1663,2825,2831,3820,0.442791072,0.557208928,0.096910112,0.149678973,0.247191011,0.506219904,0.869887731,0.009623095,0.089815557,0.030673617,0.285257776,0.236898168,0.477844056,0.58262794,0.41737206,0.501969909,0.367917822
AZ,MARICOPA,0027 APOLLO,217,04013_0027 APOLLO,MARICOPA,790,222,222,306,292,309,227,390,400,586,0.417721519,0.582278481,0.072151899,0.089873418,0.289873418,0.548101266,0.849367089,0.006329114,0.125316456,0.018987342,0.296,0.296,0.408,0.790188649,0.209811351,0.668374058,0.180993031
AZ,MARICOPA,0028 ARBOLEDA,1503,04013_0028 ARBOLEDA,MARICOPA,3978,967,657,2160,1860,1949,1364,2336,2248,3129,0.490918264,0.509081736,0.202162434,0.225546895,0.327885341,0.244405331,0.854700855,0.005279035,0.089994972,0.050025138,0.255549683,0.173625793,0.57082452400000006,0.49494881,0.50505119,0.415350913,0.439349942
AZ,MARICOPA,0029 ARBOR,257,04013_0029 ARBOR,MARICOPA,1007,295,180,476,245,255,161,375,369,611,0.48857994,0.51142006,0.143992056,0.20754717,0.41509434,0.233366435,0.820895522,0.010945274,0.136318408,0.031840796,0.31019979,0.189274448,0.500525762,0.566404594,0.433595406,0.453747187,0.367148335
AZ,MARICOPA,0030 ARCADIA,762,04013_0030 ARCADIA,MARICOPA,2922,843,1003,946,1378,1449,1052,1742,1709,2277,0.491589427,0.508410573,0.135865845,0.301848049,0.320670773,0.241615332,0.828199863,0.013004791,0.105749487,0.053045859,0.301934097,0.359240688,0.338825215,0.392825128,0.607174872,0.310083258,0.518116605
AZ,MARICOPA,0031 ARDMORE,489,04013_0031 ARDMORE,MARICOPA,4638,1491,2167,788,1648,1757,1077,2257,2166,3207,0.482375979,0.517624021,0.180034498,0.299482536,0.321905994,0.198576973,0.472186287,0.094221647,0.374299267,0.059292799,0.335357625,0.487404408,0.177237967,0.577499685,0.422500315,0.25967468,0.212511607
AZ,MARICOPA,0032 ARENA,72,04013_0032 ARENA,MARICOPA,251,63,64,114,124,132,83,155,145,196,0.525896414,0.474103586,0.103585657,0.22310757,0.374501992,0.298804781,0.693227092,0.019920319,0.250996016,0.035856574,0.261410788,0.265560166,0.473029046,0.589036178,0.410963822,0.387272846,0.305954245
AZ,MARICOPA,0033 ARLINGTON,15,04013_0033 ARLINGTON,MARICOPA,41,6,9,25,20,20,16,23,23,33,0.575,0.425,0.146341463,0.12195122,0.268292683,0.463414634,0.682926829,0,0.317073171,0,0.15,0.225,0.625,0.752095948,0.247904052,0.516764827,0.166162002
